index,County,Precinct,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
0,Greene,Greensboro,3999,273,1344,412,2,2031,2031,
1,Greene,Union Point,1873,225,514,205,0,944,944,
2,Greene,Siloam,991,123,289,98,0,510,510,
3,Greene,White Plains,347,46,119,34,0,199,199,
4,Greene,Old Salem,6961,524,3714,1200,3,5441,5441,
