index,County,Precinct,Registered Voters,Perry Lee_Election Day Votes,Perry Lee_Advanced Voting Votes,Perry Lee_Absentee by Mail Votes,Perry Lee_Provisional Votes,Perry Lee_Choice Total,Total,
0,Greene,Greensboro,3999,85,430,111,0,626,626,
1,Greene,Old Salem,6961,367,2614,971,2,3954,3954,
