index,County,Precinct,Registered Voters,Russ Goodman (Rep)_Election Day Votes,Russ Goodman (Rep)_Advanced Voting Votes,Russ Goodman (Rep)_Absentee by Mail Votes,Russ Goodman (Rep)_Provisional Votes,Russ Goodman (Rep)_Choice Total,Treva Gear (Dem)_Election Day Votes,Treva Gear (Dem)_Advanced Voting Votes,Treva Gear (Dem)_Absentee by Mail Votes,Treva Gear (Dem)_Provisional Votes,Treva Gear (Dem)_Choice Total,Total,
0,Brooks,Quitman,4117,181,589,132,1,903,200,601,518,2,1321,2224,
1,Brooks,Barwick,350,96,54,20,1,171,12,25,29,0,66,237,
2,Brooks,Dixie,1066,126,196,42,0,364,67,138,165,1,371,735,
3,Brooks,Briggs,2317,369,617,139,0,1125,66,129,118,0,313,1438,
4,Brooks,Nankin,735,165,206,38,1,410,20,31,28,0,79,489,
5,Brooks,Morven,1962,299,501,125,0,925,90,140,154,0,384,1309,
6,Brooks,Pavo,607,153,115,43,0,311,44,29,40,0,113,424,
