index,County,Precinct,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,
0,Brooks,Quitman,4117,305,877,364,3,1549,1549,
1,Brooks,Barwick,350,105,70,35,1,211,211,
2,Brooks,Dixie,1066,161,255,102,1,519,519,
3,Brooks,Briggs,2317,411,690,187,0,1288,1288,
4,Brooks,Nankin,735,168,217,50,0,435,435,
5,Brooks,Morven,1962,347,573,179,0,1099,1099,
6,Brooks,Pavo,607,166,121,61,0,348,348,
