index,County,Precinct,Registered Voters,Becky P. Rothrock (I) (Rep)_Election Day Votes,Becky P. Rothrock (I) (Rep)_Advanced Voting Votes,Becky P. Rothrock (I) (Rep)_Absentee by Mail Votes,Becky P. Rothrock (I) (Rep)_Provisional Votes,Becky P. Rothrock (I) (Rep)_Choice Total,Total,
0,Brooks,Quitman,4117,315,943,393,2,1653,1653,
1,Brooks,Barwick,350,107,72,38,1,218,218,
2,Brooks,Dixie,1066,164,268,117,1,550,550,
3,Brooks,Briggs,2317,417,701,188,0,1306,1306,
4,Brooks,Nankin,735,170,218,55,0,443,443,
5,Brooks,Morven,1962,354,573,199,0,1126,1126,
6,Brooks,Pavo,607,172,122,67,0,361,361,
