index,County,Precinct,Registered Voters,John LaHood (I) (Rep)_Election Day Votes,John LaHood (I) (Rep)_Advanced Voting Votes,John LaHood (I) (Rep)_Absentee by Mail Votes,John LaHood (I) (Rep)_Provisional Votes,John LaHood (I) (Rep)_Choice Total,Total,
0,Brooks,Quitman,4117,291,850,291,1,1433,1433,
1,Brooks,Barwick,350,107,70,28,1,206,206,
2,Brooks,Dixie,1066,157,247,84,0,488,488,
3,Brooks,Briggs,2317,424,685,189,0,1298,1298,
4,Brooks,Nankin,735,174,219,49,0,442,442,
5,Brooks,Morven,1962,349,570,175,0,1094,1094,
6,Brooks,Pavo,607,168,120,56,0,344,344,
