index,County,Precinct,Registered Voters,Belinda Wheeler (Rep)_Election Day Votes,Belinda Wheeler (Rep)_Advanced Voting Votes,Belinda Wheeler (Rep)_Absentee by Mail Votes,Belinda Wheeler (Rep)_Provisional Votes,Belinda Wheeler (Rep)_Choice Total,Mamie Benton (Dem)_Election Day Votes,Mamie Benton (Dem)_Advanced Voting Votes,Mamie Benton (Dem)_Absentee by Mail Votes,Mamie Benton (Dem)_Provisional Votes,Mamie Benton (Dem)_Choice Total,Total,
0,Brooks,Quitman,4117,211,675,175,1,1062,171,521,473,1,1166,2228,
1,Brooks,Barwick,350,95,56,25,1,177,12,24,27,0,63,240,
2,Brooks,Dixie,1066,132,208,46,0,386,61,131,158,1,351,737,
3,Brooks,Briggs,2317,376,639,140,0,1155,60,111,111,0,282,1437,
4,Brooks,Nankin,735,169,212,40,1,422,17,29,26,0,72,494,
5,Brooks,Morven,1962,315,518,142,0,975,73,124,134,0,331,1306,
6,Brooks,Pavo,607,153,116,46,0,315,41,29,37,0,107,422,
