index,County,Precinct,Registered Voters,Leanna Pledger (Rep)_Election Day Votes,Leanna Pledger (Rep)_Advanced Voting Votes,Leanna Pledger (Rep)_Absentee by Mail Votes,Leanna Pledger (Rep)_Provisional Votes,Leanna Pledger (Rep)_Choice Total,Total,
0,Brooks,Quitman,4117,291,832,323,1,1447,1447,
1,Brooks,Barwick,350,103,68,35,1,207,207,
2,Brooks,Dixie,1066,151,241,87,1,480,480,
3,Brooks,Briggs,2317,411,676,178,0,1265,1265,
4,Brooks,Nankin,735,167,208,46,0,421,421,
5,Brooks,Morven,1962,339,550,178,0,1067,1067,
6,Brooks,Pavo,607,167,119,61,0,347,347,
