index,County,Precinct,Registered Voters,Ben Devane (I) (Dem)_Election Day Votes,Ben Devane (I) (Dem)_Advanced Voting Votes,Ben Devane (I) (Dem)_Absentee by Mail Votes,Ben Devane (I) (Dem)_Provisional Votes,Ben Devane (I) (Dem)_Choice Total,Total,
0,Brooks,Quitman,4117,335,1021,575,3,1934,1934,
1,Brooks,Barwick,350,78,60,44,1,183,183,
2,Brooks,Dixie,1066,151,265,186,1,603,603,
3,Brooks,Briggs,2317,318,519,194,0,1031,1031,
4,Brooks,Nankin,735,125,185,50,0,360,360,
5,Brooks,Morven,1962,296,479,224,0,999,999,
6,Brooks,Pavo,607,144,108,64,0,316,316,
