index,County,Precinct,Registered Voters,Mack Jackson (I) (Dem)_Election Day Votes,Mack Jackson (I) (Dem)_Advanced Voting Votes,Mack Jackson (I) (Dem)_Absentee by Mail Votes,Mack Jackson (I) (Dem)_Provisional Votes,Mack Jackson (I) (Dem)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,113,248,189,0,550,550,
1,Hancock,St Mark,576,86,138,84,0,308,308,
2,Hancock,Courthouse,931,102,227,160,1,490,490,
3,Hancock,Second Beulah,472,58,127,129,0,314,314,
4,Hancock,Mayfield Community Center,356,61,49,82,0,192,192,
5,Hancock,Power of God,731,93,160,136,1,390,390,
6,Hancock,Warren Chapel,268,19,66,61,0,146,146,
7,Hancock,Youth Center,975,101,216,202,0,519,519,
8,Hancock,Second Darrien,364,73,62,105,0,240,240,
9,Hancock,Sparta 4C,148,15,19,52,0,86,86,
