index,County,Precinct,Registered Voters,"Helen G. """"Sistie"""" Hudson (I) (Dem)_Election Day Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Advanced Voting Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Absentee by Mail Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Provisional Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Choice Total",Total,
0,Hancock,Devereux Fire Station,1006,114,274,193,0,581,581,
1,Hancock,St Mark,576,78,143,70,0,291,291,
2,Hancock,Courthouse,931,94,227,157,1,479,479,
3,Hancock,Second Beulah,472,56,119,125,0,300,300,
4,Hancock,Mayfield Community Center,356,63,44,80,0,187,187,
5,Hancock,Power of God,731,88,147,126,0,361,361,
6,Hancock,Warren Chapel,268,24,74,65,0,163,163,
7,Hancock,Youth Center,975,95,222,197,0,514,514,
8,Hancock,Second Darrien,364,67,63,96,0,226,226,
9,Hancock,Sparta 4C,148,16,21,53,0,90,90,
