index,County,Precinct,Registered Voters,Randolph Clayton (I) (Dem)_Election Day Votes,Randolph Clayton (I) (Dem)_Advanced Voting Votes,Randolph Clayton (I) (Dem)_Absentee by Mail Votes,Randolph Clayton (I) (Dem)_Provisional Votes,Randolph Clayton (I) (Dem)_Choice Total,Total,
0,Hancock,Youth Center,975,101,223,196,0,520,520,
1,Hancock,Second Darrien,364,66,64,93,0,223,223,
2,Hancock,Sparta 4C,148,18,19,53,0,90,90,
