index,County,Precinct,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,128,290,130,0,548,548,
1,Hancock,St Mark,576,62,104,33,0,199,199,
2,Hancock,Courthouse,931,73,186,79,1,339,339,
3,Hancock,Second Beulah,472,42,71,58,0,171,171,
4,Hancock,Mayfield Community Center,356,40,37,41,0,118,118,
5,Hancock,Power of God,731,66,116,71,1,254,254,
6,Hancock,Warren Chapel,268,29,80,49,0,158,158,
7,Hancock,Youth Center,975,74,159,100,0,333,333,
8,Hancock,Second Darrien,364,62,50,54,0,166,166,
9,Hancock,Sparta 4C,148,23,18,33,0,74,74,
