index,County,Precinct,Registered Voters,"Michael """"Mike"""" Stockwell (Rep)_Election Day Votes","Michael """"Mike"""" Stockwell (Rep)_Advanced Voting Votes","Michael """"Mike"""" Stockwell (Rep)_Absentee by Mail Votes","Michael """"Mike"""" Stockwell (Rep)_Provisional Votes","Michael """"Mike"""" Stockwell (Rep)_Choice Total",Gloria Butts Cooper (I) (Dem)_Election Day Votes,Gloria Butts Cooper (I) (Dem)_Advanced Voting Votes,Gloria Butts Cooper (I) (Dem)_Absentee by Mail Votes,Gloria Butts Cooper (I) (Dem)_Provisional Votes,Gloria Butts Cooper (I) (Dem)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,81,227,90,0,398,76,135,151,0,362,760,
1,Hancock,St Mark,576,10,35,8,0,53,82,136,82,0,300,353,
