index,County,Precinct,Registered Voters,Leshauna R. Jackson (I) (Dem)_Election Day Votes,Leshauna R. Jackson (I) (Dem)_Advanced Voting Votes,Leshauna R. Jackson (I) (Dem)_Absentee by Mail Votes,Leshauna R. Jackson (I) (Dem)_Provisional Votes,Leshauna R. Jackson (I) (Dem)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,111,253,192,0,556,556,
1,Hancock,St Mark,576,80,147,79,0,306,306,
2,Hancock,Courthouse,931,99,235,160,1,495,495,
3,Hancock,Second Beulah,472,58,119,125,0,302,302,
4,Hancock,Mayfield Community Center,356,60,44,83,0,187,187,
5,Hancock,Power of God,731,96,154,126,0,376,376,
6,Hancock,Warren Chapel,268,23,69,61,0,153,153,
7,Hancock,Youth Center,975,96,220,203,0,519,519,
8,Hancock,Second Darrien,364,67,59,105,0,231,231,
9,Hancock,Sparta 4C,148,15,20,51,0,86,86,
