index,County,Precinct,Registered Voters,"Terrell """"Ted"""" Reid (I) (Dem)_Election Day Votes","Terrell """"Ted"""" Reid (I) (Dem)_Advanced Voting Votes","Terrell """"Ted"""" Reid (I) (Dem)_Absentee by Mail Votes","Terrell """"Ted"""" Reid (I) (Dem)_Provisional Votes","Terrell """"Ted"""" Reid (I) (Dem)_Choice Total",Total,
0,Hancock,Mayfield Community Center,356,60,44,81,0,185,185,
1,Hancock,Power of God,731,89,149,127,0,365,365,
2,Hancock,Warren Chapel,268,22,70,61,0,153,153,
