index,County,Precinct,Registered Voters,Steve Hill (I) (Dem)_Election Day Votes,Steve Hill (I) (Dem)_Advanced Voting Votes,Steve Hill (I) (Dem)_Absentee by Mail Votes,Steve Hill (I) (Dem)_Provisional Votes,Steve Hill (I) (Dem)_Choice Total,Total,
0,Hancock,Courthouse,931,98,240,156,1,495,495,
1,Hancock,Second Beulah,472,59,119,124,0,302,302,
