index,County,Precinct,Registered Voters,Virginia G. Kendrick (I) (Dem)_Election Day Votes,Virginia G. Kendrick (I) (Dem)_Advanced Voting Votes,Virginia G. Kendrick (I) (Dem)_Absentee by Mail Votes,Virginia G. Kendrick (I) (Dem)_Provisional Votes,Virginia G. Kendrick (I) (Dem)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,112,259,198,0,569,569,
1,Hancock,St Mark,576,84,144,80,0,308,308,
2,Hancock,Courthouse,931,98,232,157,1,488,488,
3,Hancock,Second Beulah,472,60,122,124,0,306,306,
4,Hancock,Mayfield Community Center,356,61,47,82,0,190,190,
5,Hancock,Power of God,731,94,155,127,0,376,376,
6,Hancock,Warren Chapel,268,22,71,64,0,157,157,
7,Hancock,Youth Center,975,101,218,203,0,522,522,
8,Hancock,Second Darrien,364,68,65,107,0,240,240,
9,Hancock,Sparta 4C,148,19,23,53,0,95,95,
