index,County,Precinct,Registered Voters,Richard S. Joslyn (I)_Election Day Votes,Richard S. Joslyn (I)_Advanced Voting Votes,Richard S. Joslyn (I)_Absentee by Mail Votes,Richard S. Joslyn (I)_Provisional Votes,Richard S. Joslyn (I)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,112,265,160,0,537,537,
1,Hancock,St Mark,576,72,117,58,0,247,247,
2,Hancock,Courthouse,931,86,204,133,1,424,424,
3,Hancock,Second Beulah,472,53,97,107,0,257,257,
4,Hancock,Mayfield Community Center,356,48,36,67,0,151,151,
5,Hancock,Power of God,731,78,133,99,0,310,310,
6,Hancock,Warren Chapel,268,25,69,56,0,150,150,
7,Hancock,Youth Center,975,81,178,163,0,422,422,
8,Hancock,Second Darrien,364,61,55,91,0,207,207,
9,Hancock,Sparta 4C,148,16,18,45,0,79,79,
