index,County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
0,Hancock,Devereux Fire Station,1006,86,232,88,0,406,72,132,159,1,364,770,
1,Hancock,St Mark,576,11,45,9,0,65,80,131,84,0,295,360,
2,Hancock,Courthouse,931,25,96,24,0,145,90,198,160,1,449,594,
3,Hancock,Second Beulah,472,12,22,12,0,46,54,117,130,0,301,347,
4,Hancock,Mayfield Community Center,356,17,14,8,0,39,51,45,85,0,181,220,
5,Hancock,Power of God,731,14,56,26,0,96,97,136,128,1,362,458,
6,Hancock,Warren Chapel,268,27,70,35,0,132,2,30,48,0,80,212,
7,Hancock,Youth Center,975,24,64,27,0,115,92,204,222,0,518,633,
8,Hancock,Second Darrien,364,40,30,23,0,93,43,48,95,0,186,279,
9,Hancock,Sparta 4C,148,15,5,5,0,25,10,18,51,0,79,104,
