index,County,Precinct,Registered Voters,Julius C. Hatcher (I) (Rep)_Election Day Votes,Julius C. Hatcher (I) (Rep)_Advanced Voting Votes,Julius C. Hatcher (I) (Rep)_Absentee by Mail Votes,Julius C. Hatcher (I) (Rep)_Provisional Votes,Julius C. Hatcher (I) (Rep)_Choice Total,Total,
0,Mitchell,Cotton,399,182,72,36,0,290,290,
1,Mitchell,Hinsonton,134,72,20,7,0,99,99,
2,Mitchell,Pebble City,162,25,4,4,0,33,33,
3,Mitchell,Pelham,3489,231,590,218,0,1039,1039,
