index,County,Precinct,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
0,Mitchell,Branchville,599,173,200,33,0,406,406,
1,Mitchell,Cotton,399,188,72,36,0,296,296,
2,Mitchell,Hopeful,350,99,95,26,2,222,222,
3,Mitchell,Hinsonton,134,78,20,7,0,105,105,
4,Mitchell,Lester,1357,286,339,141,0,766,766,
5,Mitchell,Pebble City,162,68,29,16,0,113,113,
6,Mitchell,Pelham,3489,342,819,322,0,1483,1483,
7,Mitchell,Sale City,384,145,55,32,0,232,232,
