index,County,Precinct,Registered Voters,David Sullivan (I) (Rep)_Election Day Votes,David Sullivan (I) (Rep)_Advanced Voting Votes,David Sullivan (I) (Rep)_Absentee by Mail Votes,David Sullivan (I) (Rep)_Provisional Votes,David Sullivan (I) (Rep)_Choice Total,Total,
0,Mitchell,Camilla South,3475,22,313,57,0,392,392,
1,Mitchell,Lester,1357,221,240,95,0,556,556,
2,Mitchell,Pebble City,162,46,26,14,0,86,86,
3,Mitchell,Sale City,384,145,59,32,0,236,236,
