index,County,Precinct,Registered Voters,W. E. Bozeman (I) (Dem)_Election Day Votes,W. E. Bozeman (I) (Dem)_Advanced Voting Votes,W. E. Bozeman (I) (Dem)_Absentee by Mail Votes,W. E. Bozeman (I) (Dem)_Provisional Votes,W. E. Bozeman (I) (Dem)_Choice Total,Total,
0,Mitchell,Baconton,1129,216,267,128,0,611,611,
1,Mitchell,Branchville,599,149,188,53,0,390,390,
2,Mitchell,Camilla North,1996,223,546,379,0,1148,1148,
3,Mitchell,Camilla South,3475,259,1308,578,3,2148,2148,
4,Mitchell,Cotton,399,177,72,39,0,288,288,
5,Mitchell,Hopeful,350,95,91,34,2,222,222,
6,Mitchell,Hinsonton,134,74,19,11,0,104,104,
7,Mitchell,Lester,1357,245,296,158,1,700,700,
8,Mitchell,Pebble City,162,66,30,14,0,110,110,
9,Mitchell,Pelham,3489,423,954,534,1,1912,1912,
10,Mitchell,Sale City,384,146,66,36,0,248,248,
