index,County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
0,Mitchell,Baconton,1129,141,197,36,0,374,117,132,109,0,358,732,
1,Mitchell,Branchville,599,158,169,23,0,350,22,59,32,0,113,463,
2,Mitchell,Camilla North,1996,37,167,19,0,223,203,423,393,0,1019,1242,
3,Mitchell,Camilla South,3475,102,785,188,0,1075,182,640,443,3,1268,2343,
4,Mitchell,Cotton,399,164,62,25,0,251,29,16,16,0,61,312,
5,Mitchell,Hopeful,350,80,76,19,0,175,27,25,18,2,72,247,
6,Mitchell,Hinsonton,134,68,16,3,0,87,10,5,8,0,23,110,
7,Mitchell,Lester,1357,248,301,75,0,624,60,67,102,1,230,854,
8,Mitchell,Pebble City,162,57,23,15,0,95,17,10,5,0,32,127,
9,Mitchell,Pelham,3489,188,625,145,0,958,280,444,444,1,1169,2127,
10,Mitchell,Sale City,384,124,42,22,0,188,38,27,19,0,84,272,
