index,County,Precinct,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
0,Mitchell,Baconton,1129,212,271,84,0,567,567,
1,Mitchell,Branchville,599,173,200,35,0,408,408,
2,Mitchell,Camilla North,1996,159,401,209,0,769,769,
3,Mitchell,Camilla South,3475,216,1185,420,3,1824,1824,
4,Mitchell,Cotton,399,186,72,39,0,297,297,
5,Mitchell,Hopeful,350,101,95,27,2,225,225,
6,Mitchell,Hinsonton,134,78,20,7,0,105,105,
7,Mitchell,Lester,1357,286,340,136,0,762,762,
8,Mitchell,Pebble City,162,71,29,17,0,117,117,
9,Mitchell,Pelham,3489,360,852,343,1,1556,1556,
10,Mitchell,Sale City,384,145,57,35,0,237,237,
