index,County,Precinct,Registered Voters,Robby Willis (Rep)_Election Day Votes,Robby Willis (Rep)_Advanced Voting Votes,Robby Willis (Rep)_Absentee by Mail Votes,Robby Willis (Rep)_Provisional Votes,Robby Willis (Rep)_Choice Total,Stedderick B. Thomas (I) (Dem)_Election Day Votes,Stedderick B. Thomas (I) (Dem)_Advanced Voting Votes,Stedderick B. Thomas (I) (Dem)_Absentee by Mail Votes,Stedderick B. Thomas (I) (Dem)_Provisional Votes,Stedderick B. Thomas (I) (Dem)_Choice Total,Total,
0,Mitchell,Baconton,1129,140,183,33,0,356,114,144,110,0,368,724,
1,Mitchell,Branchville,599,153,161,21,0,335,27,62,35,0,124,459,
2,Mitchell,Camilla North,1996,37,150,23,0,210,197,433,384,0,1014,1224,
3,Mitchell,Camilla South,3475,101,715,183,0,999,178,710,447,3,1338,2337,
4,Mitchell,Cotton,399,162,72,34,0,268,30,6,8,0,44,312,
5,Mitchell,Hopeful,350,84,77,23,2,186,24,24,15,0,63,249,
6,Mitchell,Hinsonton,134,69,17,3,0,89,11,4,6,0,21,110,
7,Mitchell,Lester,1357,254,298,85,0,637,49,67,90,1,207,844,
8,Mitchell,Pebble City,162,59,19,14,0,92,15,14,4,0,33,125,
9,Mitchell,Pelham,3489,205,618,173,0,996,262,452,416,1,1131,2127,
10,Mitchell,Sale City,384,129,47,23,0,199,32,22,18,0,72,271,
