index,County,Precinct,Registered Voters,Steve Brock (I) (Rep)_Election Day Votes,Steve Brock (I) (Rep)_Advanced Voting Votes,Steve Brock (I) (Rep)_Absentee by Mail Votes,Steve Brock (I) (Rep)_Provisional Votes,Steve Brock (I) (Rep)_Choice Total,Total,
0,Decatur,Mt Pleasant,564,130,218,44,0,392,392,
1,Decatur,Climax,975,196,315,64,2,577,577,
2,Decatur,Bainbridge-Coliseum,5641,46,254,53,0,353,353,
3,Decatur,BDGE-Fairgrounds,3308,90,464,85,0,639,639,
4,Decatur,Attapulgus,1812,3,9,2,0,14,14,
