index,County,Precinct,Registered Voters,John William Kirkus (Rep)_Election Day Votes,John William Kirkus (Rep)_Advanced Voting Votes,John William Kirkus (Rep)_Absentee by Mail Votes,John William Kirkus (Rep)_Provisional Votes,John William Kirkus (Rep)_Choice Total,Wiley Griffin (I) (Dem)_Election Day Votes,Wiley Griffin (I) (Dem)_Advanced Voting Votes,Wiley Griffin (I) (Dem)_Absentee by Mail Votes,Wiley Griffin (I) (Dem)_Provisional Votes,Wiley Griffin (I) (Dem)_Choice Total,Chip Nix (Ind)_Election Day Votes,Chip Nix (Ind)_Advanced Voting Votes,Chip Nix (Ind)_Absentee by Mail Votes,Chip Nix (Ind)_Provisional Votes,Chip Nix (Ind)_Choice Total,Total,
0,Decatur,Mt Pleasant,564,72,108,21,0,201,57,117,30,0,204,9,21,8,0,38,443,
1,Decatur,Recovery,678,108,87,44,1,240,64,77,72,1,214,14,13,16,0,43,497,
2,Decatur,Kendrick,566,65,117,11,0,193,68,64,38,1,171,16,14,9,0,39,403,
3,Decatur,Climax,975,119,174,14,2,309,89,178,78,0,345,29,43,22,0,94,748,
4,Decatur,Brinson,836,64,134,20,0,218,97,152,59,0,308,26,47,9,0,82,608,
5,Decatur,West Bainbridge,2238,69,292,37,0,398,119,552,213,1,885,30,118,33,0,181,1464,
6,Decatur,Bainbridge-Coliseum,5641,157,807,157,0,1121,277,1530,533,2,2342,87,289,83,1,460,3923,
7,Decatur,BDGE-Fairgrounds,3308,102,392,44,0,538,149,766,302,2,1219,60,198,72,0,330,2087,
8,Decatur,Attapulgus,1812,59,137,41,0,237,191,379,265,3,838,29,85,45,0,159,1234,
