index,County,Precinct,Registered Voters,Mark Harrell (I) (Dem)_Election Day Votes,Mark Harrell (I) (Dem)_Advanced Voting Votes,Mark Harrell (I) (Dem)_Absentee by Mail Votes,Mark Harrell (I) (Dem)_Provisional Votes,Mark Harrell (I) (Dem)_Choice Total,Total,
0,Decatur,Mt Pleasant,564,112,209,44,0,365,365,
1,Decatur,Recovery,678,139,150,117,2,408,408,
2,Decatur,Kendrick,566,125,163,56,1,345,345,
3,Decatur,Climax,975,191,321,100,1,613,613,
4,Decatur,Brinson,836,149,292,74,0,515,515,
5,Decatur,West Bainbridge,2238,190,838,266,1,1295,1295,
6,Decatur,Bainbridge-Coliseum,5641,477,2318,703,3,3501,3501,
7,Decatur,BDGE-Fairgrounds,3308,281,1231,389,2,1903,1903,
8,Decatur,Attapulgus,1812,245,548,318,3,1114,1114,
