index,County,Precinct,Registered Voters,Joe Campbell (I) (Rep)_Election Day Votes,Joe Campbell (I) (Rep)_Advanced Voting Votes,Joe Campbell (I) (Rep)_Absentee by Mail Votes,Joe Campbell (I) (Rep)_Provisional Votes,Joe Campbell (I) (Rep)_Choice Total,Total,
0,Decatur,Mt Pleasant,564,133,227,47,0,407,407,
1,Decatur,Brinson,836,165,294,67,0,526,526,
2,Decatur,West Bainbridge,2238,178,752,159,1,1090,1090,
3,Decatur,Bainbridge-Coliseum,5641,351,1733,450,1,2535,2535,
4,Decatur,BDGE-Fairgrounds,3308,256,1043,235,1,1535,1535,
