index,County,Precinct,Registered Voters,"Bobby Barber, Jr. (Rep)_Election Day Votes","Bobby Barber, Jr. (Rep)_Advanced Voting Votes","Bobby Barber, Jr. (Rep)_Absentee by Mail Votes","Bobby Barber, Jr. (Rep)_Provisional Votes","Bobby Barber, Jr. (Rep)_Choice Total",Johnnie Mae Livingston (Dem)_Election Day Votes,Johnnie Mae Livingston (Dem)_Advanced Voting Votes,Johnnie Mae Livingston (Dem)_Absentee by Mail Votes,Johnnie Mae Livingston (Dem)_Provisional Votes,Johnnie Mae Livingston (Dem)_Choice Total,Total,
0,Decatur,Recovery,678,169,147,72,0,388,15,30,61,1,107,495,
1,Decatur,Kendrick,566,135,163,24,0,322,17,31,34,0,82,404,
2,Decatur,West Bainbridge,2238,44,307,53,0,404,11,83,31,0,125,529,
3,Decatur,Bainbridge-Coliseum,5641,26,176,38,0,240,22,114,30,0,166,406,
