index,County,Precinct,Registered Voters,Cecilia B. Willis (I) (Dem)_Election Day Votes,Cecilia B. Willis (I) (Dem)_Advanced Voting Votes,Cecilia B. Willis (I) (Dem)_Absentee by Mail Votes,Cecilia B. Willis (I) (Dem)_Provisional Votes,Cecilia B. Willis (I) (Dem)_Choice Total,Total,
0,Decatur,Mt Pleasant,564,112,209,46,0,367,367,
1,Decatur,Recovery,678,128,144,112,2,386,386,
2,Decatur,Kendrick,566,118,168,52,1,339,339,
3,Decatur,Climax,975,195,321,98,1,615,615,
4,Decatur,Brinson,836,149,285,78,0,512,512,
5,Decatur,West Bainbridge,2238,186,835,262,1,1284,1284,
6,Decatur,Bainbridge-Coliseum,5641,459,2311,690,3,3463,3463,
7,Decatur,BDGE-Fairgrounds,3308,274,1213,375,1,1863,1863,
8,Decatur,Attapulgus,1812,234,521,312,3,1070,1070,
