index,County,Precinct,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
0,Decatur,Mt Pleasant,564,132,221,46,0,399,399,
1,Decatur,Recovery,678,174,157,102,2,435,435,
2,Decatur,Kendrick,566,129,179,42,0,350,350,
3,Decatur,Climax,975,213,352,74,2,641,641,
4,Decatur,Brinson,836,159,287,64,0,510,510,
5,Decatur,West Bainbridge,2238,178,739,171,1,1089,1089,
6,Decatur,Bainbridge-Coliseum,5641,418,2134,569,3,3124,3124,
7,Decatur,BDGE-Fairgrounds,3308,253,1058,257,1,1569,1569,
8,Decatur,Attapulgus,1812,211,408,212,2,833,833,
