index,County,Precinct,Registered Voters,Darlene Taylor (I) (Rep)_Election Day Votes,Darlene Taylor (I) (Rep)_Advanced Voting Votes,Darlene Taylor (I) (Rep)_Absentee by Mail Votes,Darlene Taylor (I) (Rep)_Provisional Votes,Darlene Taylor (I) (Rep)_Choice Total,Booker T. Gainor (Dem)_Election Day Votes,Booker T. Gainor (Dem)_Advanced Voting Votes,Booker T. Gainor (Dem)_Absentee by Mail Votes,Booker T. Gainor (Dem)_Provisional Votes,Booker T. Gainor (Dem)_Choice Total,Total,
0,Decatur,Recovery,678,166,146,74,0,386,18,32,59,0,109,495,
1,Decatur,Kendrick,566,128,164,19,1,312,22,31,38,0,91,403,
2,Decatur,Climax,975,197,315,51,1,564,43,81,63,0,187,751,
3,Decatur,Bainbridge-Coliseum,5641,56,343,81,0,480,18,93,46,0,157,637,
4,Decatur,Attapulgus,1812,127,261,95,0,483,156,337,261,0,754,1237,
