index,County,Precinct,Registered Voters,James Chafin_Election Day Votes,James Chafin_Advanced Voting Votes,James Chafin_Absentee by Mail Votes,James Chafin_Provisional Votes,James Chafin_Choice Total,Deborah Gonzalez (Dem)_Election Day Votes,Deborah Gonzalez (Dem)_Advanced Voting Votes,Deborah Gonzalez (Dem)_Absentee by Mail Votes,Deborah Gonzalez (Dem)_Provisional Votes,Deborah Gonzalez (Dem)_Choice Total,Brian Patterson (Dem)_Election Day Votes,Brian Patterson (Dem)_Advanced Voting Votes,Brian Patterson (Dem)_Absentee by Mail Votes,Brian Patterson (Dem)_Provisional Votes,Brian Patterson (Dem)_Choice Total,Total,
0,Clarke,1A,3017,188,154,118,0,460,227,367,323,3,920,94,123,175,0,392,1772,
1,Clarke,1B,3645,99,255,163,3,520,150,612,563,1,1326,63,191,216,0,470,2316,
2,Clarke,1C,2242,114,212,107,0,433,111,446,447,0,1004,37,107,147,0,291,1728,
3,Clarke,1D,2830,132,264,210,1,607,124,485,610,0,1219,52,139,164,0,355,2181,
4,Clarke,2A,4341,112,98,78,0,288,365,593,507,0,1465,99,183,182,1,465,2218,
5,Clarke,2B,5136,78,113,43,0,234,322,921,558,4,1805,116,212,184,0,512,2551,
6,Clarke,3A,2938,32,80,36,1,149,225,484,362,3,1074,45,93,80,1,219,1442,
7,Clarke,3B,4122,82,164,52,1,299,230,866,474,2,1572,49,135,84,1,269,2140,
8,Clarke,4A,2072,55,138,61,0,254,137,393,260,1,791,47,77,64,0,188,1233,
9,Clarke,4B,4096,160,325,118,1,604,226,858,512,1,1597,61,194,126,0,381,2582,
10,Clarke,5A,3007,81,280,145,1,507,150,721,445,0,1316,45,154,179,0,378,2201,
11,Clarke,5B,3030,88,198,166,0,452,209,525,458,1,1193,48,134,173,0,355,2000,
12,Clarke,5C,2053,38,61,36,0,135,118,695,419,1,1233,26,98,61,0,185,1553,
13,Clarke,5D,3087,69,137,69,0,275,257,533,304,5,1099,76,132,129,0,337,1711,
14,Clarke,6A,3780,171,494,287,1,953,157,501,471,2,1131,61,170,176,1,408,2492,
15,Clarke,6B,3865,138,356,250,0,744,189,603,592,1,1385,64,175,217,0,456,2585,
16,Clarke,6C,3129,161,324,196,0,681,128,485,462,0,1075,49,153,181,0,383,2139,
17,Clarke,6D,1701,88,127,53,0,268,91,399,321,0,811,34,59,75,0,168,1247,
18,Clarke,7A,2968,133,287,192,1,613,151,487,431,0,1069,48,150,171,0,369,2051,
19,Clarke,7B,3166,105,315,155,0,575,135,528,456,2,1121,37,155,190,0,382,2078,
20,Clarke,7C,2733,127,254,154,2,537,140,499,409,0,1048,44,161,147,0,352,1937,
21,Clarke,8A,3319,89,170,126,0,385,161,559,545,2,1267,47,131,195,1,374,2026,
22,Clarke,8B,2317,84,136,100,0,320,138,362,351,0,851,58,92,119,0,269,1440,
23,Clarke,8C,3910,140,247,148,0,535,222,676,576,2,1476,72,149,151,2,374,2385,
