index,County,Precinct,Registered Voters,Frank Ginn (I) (Rep)_Election Day Votes,Frank Ginn (I) (Rep)_Advanced Voting Votes,Frank Ginn (I) (Rep)_Absentee by Mail Votes,Frank Ginn (I) (Rep)_Provisional Votes,Frank Ginn (I) (Rep)_Choice Total,Dawn Johnson (Dem)_Election Day Votes,Dawn Johnson (Dem)_Advanced Voting Votes,Dawn Johnson (Dem)_Absentee by Mail Votes,Dawn Johnson (Dem)_Provisional Votes,Dawn Johnson (Dem)_Choice Total,Total,
0,Clarke,1A,3017,294,243,204,0,741,254,456,435,1,1146,1887,
1,Clarke,1B,3645,153,424,279,3,859,186,717,712,1,1616,2475,
2,Clarke,1C,2242,165,297,178,0,640,127,505,545,0,1177,1817,
3,Clarke,1D,2830,202,387,310,0,899,134,549,699,0,1382,2281,
4,Clarke,2A,4341,152,166,146,0,464,442,732,649,0,1823,2287,
5,Clarke,4A,2072,78,196,78,0,352,173,450,326,1,950,1302,
6,Clarke,5D,3087,107,223,120,0,450,303,631,402,4,1340,1790,
7,Clarke,8A,3319,133,275,244,0,652,189,631,659,1,1480,2132,
8,Clarke,8B,2317,110,187,153,0,450,182,427,433,0,1042,1492,
9,Clarke,8C,3910,178,359,203,0,740,269,774,700,2,1745,2485,
