index,County,Precinct,Registered Voters,Bill Cowsert (I) (Rep)_Election Day Votes,Bill Cowsert (I) (Rep)_Advanced Voting Votes,Bill Cowsert (I) (Rep)_Absentee by Mail Votes,Bill Cowsert (I) (Rep)_Provisional Votes,Bill Cowsert (I) (Rep)_Choice Total,Zachary Perry (Dem)_Election Day Votes,Zachary Perry (Dem)_Advanced Voting Votes,Zachary Perry (Dem)_Absentee by Mail Votes,Zachary Perry (Dem)_Provisional Votes,Zachary Perry (Dem)_Choice Total,Total,
0,Clarke,2B,5136,118,163,72,0,353,413,1101,724,4,2242,2595,
1,Clarke,3A,2938,53,104,49,1,207,249,566,434,3,1252,1459,
2,Clarke,3B,4122,141,264,85,1,491,240,943,555,2,1740,2231,
3,Clarke,4B,4096,234,491,177,1,903,241,952,610,1,1804,2707,
4,Clarke,5A,3007,117,399,234,1,751,170,808,570,0,1548,2299,
5,Clarke,5B,3030,142,276,213,1,632,233,629,611,0,1473,2105,
6,Clarke,5C,2053,60,92,53,0,205,129,774,466,1,1370,1575,
7,Clarke,6A,3780,214,653,384,1,1252,192,594,585,3,1374,2626,
8,Clarke,6B,3865,187,480,354,0,1021,221,695,737,1,1654,2675,
9,Clarke,6C,3129,214,483,322,0,1019,147,539,541,0,1227,2246,
10,Clarke,6D,1701,104,159,78,0,341,115,439,372,0,926,1267,
11,Clarke,7A,2968,180,422,284,1,887,164,545,539,0,1248,2135,
12,Clarke,7B,3166,147,481,277,0,905,139,576,550,2,1267,2172,
13,Clarke,7C,2733,188,401,247,0,836,146,563,479,1,1189,2025,
