index,County,Precinct,Registered Voters,Houston Gaines (I) (Rep)_Election Day Votes,Houston Gaines (I) (Rep)_Advanced Voting Votes,Houston Gaines (I) (Rep)_Absentee by Mail Votes,Houston Gaines (I) (Rep)_Provisional Votes,Houston Gaines (I) (Rep)_Choice Total,"""""Mokah"""" Jasmine Johnson (Dem)_Election Day Votes","""""Mokah"""" Jasmine Johnson (Dem)_Advanced Voting Votes","""""Mokah"""" Jasmine Johnson (Dem)_Absentee by Mail Votes","""""Mokah"""" Jasmine Johnson (Dem)_Provisional Votes","""""Mokah"""" Jasmine Johnson (Dem)_Choice Total",Total,
0,Clarke,3A,2938,52,111,54,1,218,257,571,435,3,1266,1484,
1,Clarke,4B,4096,133,296,150,0,579,89,418,316,0,823,1402,
2,Clarke,6A,3780,226,689,415,1,1331,186,570,557,3,1316,2647,
3,Clarke,6B,3865,194,516,411,0,1121,218,677,690,1,1586,2707,
4,Clarke,6C,3129,225,511,350,0,1086,140,512,515,0,1167,2253,
5,Clarke,6D,1701,120,171,96,0,387,107,435,359,0,901,1288,
6,Clarke,7A,2968,151,395,297,1,844,119,362,401,0,882,1726,
7,Clarke,7B,3166,158,496,311,0,965,137,567,518,2,1224,2189,
