index,County,Precinct,Registered Voters,Sonny Wilson (I) (Dem)_Election Day Votes,Sonny Wilson (I) (Dem)_Advanced Voting Votes,Sonny Wilson (I) (Dem)_Absentee by Mail Votes,Sonny Wilson (I) (Dem)_Provisional Votes,Sonny Wilson (I) (Dem)_Choice Total,Total,
0,Clarke,1A,3017,460,614,562,3,1639,1639,
1,Clarke,1B,3645,283,970,856,4,2113,2113,
2,Clarke,1C,2242,234,703,650,0,1587,1587,
3,Clarke,1D,2830,276,807,883,1,1967,1967,
4,Clarke,2A,4341,548,830,733,1,2112,2112,
5,Clarke,2B,5136,499,1215,741,3,2458,2458,
6,Clarke,3A,2938,294,626,455,5,1380,1380,
7,Clarke,3B,4122,350,1101,581,4,2036,2036,
8,Clarke,4A,2072,231,590,366,1,1188,1188,
9,Clarke,4B,4096,416,1298,688,2,2404,2404,
10,Clarke,5A,3007,258,1053,692,0,2003,2003,
11,Clarke,5B,3030,325,795,757,1,1878,1878,
12,Clarke,5C,2053,164,799,478,1,1442,1442,
13,Clarke,5D,3087,382,764,464,4,1614,1614,
14,Clarke,6A,3780,331,1019,823,4,2177,2177,
15,Clarke,6B,3865,352,1001,980,1,2334,2334,
16,Clarke,6C,3129,300,862,794,0,1956,1956,
17,Clarke,6D,1701,184,537,421,0,1142,1142,
18,Clarke,7A,2968,306,853,715,1,1875,1875,
19,Clarke,7B,3166,248,928,735,2,1913,1913,
20,Clarke,7C,2733,288,856,638,1,1783,1783,
21,Clarke,8A,3319,278,805,796,3,1882,1882,
22,Clarke,8B,2317,256,552,528,0,1336,1336,
23,Clarke,8C,3910,405,1024,817,4,2250,2250,
