index,County,Precinct,Registered Voters,Noel Brown (I) (Rep)_Election Day Votes,Noel Brown (I) (Rep)_Advanced Voting Votes,Noel Brown (I) (Rep)_Absentee by Mail Votes,Noel Brown (I) (Rep)_Provisional Votes,Noel Brown (I) (Rep)_Choice Total,Rey Rodriguez (Dem)_Election Day Votes,Rey Rodriguez (Dem)_Advanced Voting Votes,Rey Rodriguez (Dem)_Absentee by Mail Votes,Rey Rodriguez (Dem)_Provisional Votes,Rey Rodriguez (Dem)_Choice Total,Total,
0,Bulloch,Lockhart,720,253,120,53,2,428,34,39,35,0,108,536,
1,Bulloch,Emit,3360,549,861,292,1,1703,154,339,188,1,682,2385,
2,Bulloch,Statesboro,6312,439,1240,496,4,2179,373,888,488,9,1758,3937,
3,Bulloch,Portal,1735,475,309,174,0,958,59,70,61,0,190,1148,
4,Bulloch,Fair,6335,509,1694,545,3,2751,252,832,426,6,1516,4267,
5,Bulloch,Church,5793,429,1114,493,2,2038,339,783,563,4,1689,3727,
6,Bulloch,Pittman Park,5279,326,588,205,0,1119,429,862,312,4,1607,2726,
7,Bulloch,Leefield,1000,364,192,79,1,636,34,47,21,0,102,738,
8,Bulloch,Blitch,1947,446,535,185,1,1167,67,158,129,0,354,1521,
9,Bulloch,Hagin,2403,441,496,187,3,1127,139,196,169,1,505,1632,
10,Bulloch,Brooklet,3351,664,958,267,2,1891,147,264,140,2,553,2444,
11,Bulloch,Stilson,2137,614,437,159,1,1211,64,77,60,0,201,1412,
12,Bulloch,Bay,1610,513,344,129,0,986,82,68,49,0,199,1185,
13,Bulloch,Nevils,1299,372,259,114,1,746,62,56,41,0,159,905,
14,Bulloch,Sinkhole,488,189,65,46,0,300,22,12,22,0,56,356,
15,Bulloch,Register,969,217,154,69,2,442,74,67,53,0,194,636,
