index,County,Precinct,Registered Voters,Roy Gene Thompson (I) (Rep)_Election Day Votes,Roy Gene Thompson (I) (Rep)_Advanced Voting Votes,Roy Gene Thompson (I) (Rep)_Absentee by Mail Votes,Roy Gene Thompson (I) (Rep)_Provisional Votes,Roy Gene Thompson (I) (Rep)_Choice Total,Total,
0,Bulloch,Lockhart,720,256,130,55,1,442,442,
1,Bulloch,Emit,3360,628,1025,350,1,2004,2004,
2,Bulloch,Statesboro,6312,621,1662,667,10,2960,2960,
3,Bulloch,Portal,1735,476,324,161,0,961,961,
4,Bulloch,Fair,6335,661,2140,676,7,3484,3484,
5,Bulloch,Church,5793,592,1440,665,5,2702,2702,
6,Bulloch,Pittman Park,5279,606,1110,325,2,2043,2043,
7,Bulloch,Leefield,1000,373,221,81,1,676,676,
8,Bulloch,Blitch,1947,477,594,211,1,1283,1283,
9,Bulloch,Hagin,2403,511,561,243,4,1319,1319,
10,Bulloch,Brooklet,3351,739,1081,319,2,2141,2141,
11,Bulloch,Stilson,2137,630,461,175,1,1267,1267,
12,Bulloch,Bay,1610,554,378,144,0,1076,1076,
13,Bulloch,Nevils,1299,394,288,130,1,813,813,
14,Bulloch,Sinkhole,488,201,69,48,0,318,318,
15,Bulloch,Register,969,243,175,89,2,509,509,
