index,County,Precinct,Registered Voters,Leslie Deal Akins (Rep)_Election Day Votes,Leslie Deal Akins (Rep)_Advanced Voting Votes,Leslie Deal Akins (Rep)_Absentee by Mail Votes,Leslie Deal Akins (Rep)_Provisional Votes,Leslie Deal Akins (Rep)_Choice Total,Total,
0,Bulloch,Lockhart,720,257,133,56,1,447,447,
1,Bulloch,Emit,3360,644,1042,345,1,2032,2032,
2,Bulloch,Statesboro,6312,634,1695,662,9,3000,3000,
3,Bulloch,Portal,1735,477,335,157,0,969,969,
4,Bulloch,Fair,6335,669,2158,691,7,3525,3525,
5,Bulloch,Church,5793,606,1454,671,5,2736,2736,
6,Bulloch,Pittman Park,5279,613,1119,326,2,2060,2060,
7,Bulloch,Leefield,1000,378,224,80,1,683,683,
8,Bulloch,Blitch,1947,485,609,212,1,1307,1307,
9,Bulloch,Hagin,2403,517,569,243,4,1333,1333,
10,Bulloch,Brooklet,3351,757,1091,321,2,2171,2171,
11,Bulloch,Stilson,2137,642,467,176,1,1286,1286,
12,Bulloch,Bay,1610,560,380,146,0,1086,1086,
13,Bulloch,Nevils,1299,407,291,130,1,829,829,
14,Bulloch,Sinkhole,488,201,70,48,0,319,319,
15,Bulloch,Register,969,246,178,85,2,511,511,
