index,County,Precinct,Registered Voters,Butch Parrish (I) (Rep)_Election Day Votes,Butch Parrish (I) (Rep)_Advanced Voting Votes,Butch Parrish (I) (Rep)_Absentee by Mail Votes,Butch Parrish (I) (Rep)_Provisional Votes,Butch Parrish (I) (Rep)_Choice Total,Ann P.D. Gleason (Dem)_Election Day Votes,Ann P.D. Gleason (Dem)_Advanced Voting Votes,Ann P.D. Gleason (Dem)_Absentee by Mail Votes,Ann P.D. Gleason (Dem)_Provisional Votes,Ann P.D. Gleason (Dem)_Choice Total,Total,
0,Bulloch,Statesboro,6312,402,1181,411,4,1998,389,913,577,8,1887,3885,
1,Bulloch,Portal,1735,438,282,120,0,840,88,95,108,0,291,1131,
2,Bulloch,Register,969,83,64,37,1,185,25,38,33,0,96,281,
