index,County,Precinct,Registered Voters,Heather Banks McNeal (I) (Rep)_Election Day Votes,Heather Banks McNeal (I) (Rep)_Advanced Voting Votes,Heather Banks McNeal (I) (Rep)_Absentee by Mail Votes,Heather Banks McNeal (I) (Rep)_Provisional Votes,Heather Banks McNeal (I) (Rep)_Choice Total,Total,
0,Bulloch,Lockhart,720,255,131,53,1,440,440,
1,Bulloch,Emit,3360,642,1035,342,1,2020,2020,
2,Bulloch,Statesboro,6312,626,1679,659,8,2972,2972,
3,Bulloch,Portal,1735,471,328,155,0,954,954,
4,Bulloch,Fair,6335,663,2150,676,7,3496,3496,
5,Bulloch,Church,5793,601,1448,656,4,2709,2709,
6,Bulloch,Pittman Park,5279,614,1118,318,2,2052,2052,
7,Bulloch,Leefield,1000,375,221,79,0,675,675,
8,Bulloch,Blitch,1947,482,600,208,1,1291,1291,
9,Bulloch,Hagin,2403,513,565,243,2,1323,1323,
10,Bulloch,Brooklet,3351,747,1092,320,2,2161,2161,
11,Bulloch,Stilson,2137,630,457,180,1,1268,1268,
12,Bulloch,Bay,1610,555,373,140,0,1068,1068,
13,Bulloch,Nevils,1299,403,290,129,1,823,823,
14,Bulloch,Sinkhole,488,198,72,50,0,320,320,
15,Bulloch,Register,969,243,180,88,2,513,513,
