index,County,Precinct,Registered Voters,Jappy Stringer (I) (Rep)_Election Day Votes,Jappy Stringer (I) (Rep)_Advanced Voting Votes,Jappy Stringer (I) (Rep)_Absentee by Mail Votes,Jappy Stringer (I) (Rep)_Provisional Votes,Jappy Stringer (I) (Rep)_Choice Total,Total,
0,Bulloch,Lockhart,720,182,85,29,1,297,297,
1,Bulloch,Emit,3360,640,1032,332,1,2005,2005,
2,Bulloch,Statesboro,6312,271,888,317,1,1477,1477,
3,Bulloch,Portal,1735,45,60,23,0,128,128,
4,Bulloch,Fair,6335,620,2097,664,3,3384,3384,
5,Bulloch,Church,5793,325,968,392,1,1686,1686,
6,Bulloch,Pittman Park,5279,453,894,286,0,1633,1633,
7,Bulloch,Leefield,1000,377,222,82,1,682,682,
8,Bulloch,Blitch,1947,485,597,212,1,1295,1295,
9,Bulloch,Hagin,2403,440,488,196,2,1126,1126,
10,Bulloch,Brooklet,3351,748,1088,316,2,2154,2154,
11,Bulloch,Stilson,2137,631,462,177,1,1271,1271,
12,Bulloch,Bay,1610,559,377,140,0,1076,1076,
13,Bulloch,Nevils,1299,401,287,127,1,816,816,
14,Bulloch,Sinkhole,488,200,69,48,0,317,317,
15,Bulloch,Register,969,154,81,44,0,279,279,
