index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Bulloch,Lockhart,720,238,104,32,1,375,47,50,55,0,152,527,
1,Bulloch,Emit,3360,550,861,254,0,1665,143,344,227,1,715,2380,
2,Bulloch,Statesboro,6312,406,1179,389,3,1977,401,940,619,10,1970,3947,
3,Bulloch,Portal,1735,434,283,120,0,837,90,96,110,0,296,1133,
4,Bulloch,Fair,6335,511,1672,494,6,2683,247,855,492,5,1599,4282,
5,Bulloch,Church,5793,394,1027,403,1,1825,370,860,657,7,1894,3719,
6,Bulloch,Pittman Park,5279,319,565,178,0,1062,431,902,340,3,1676,2738,
7,Bulloch,Leefield,1000,359,203,69,1,632,35,38,32,1,106,738,
8,Bulloch,Blitch,1947,443,516,178,2,1139,62,173,139,1,375,1514,
9,Bulloch,Hagin,2403,443,476,154,3,1076,136,214,203,1,554,1630,
10,Bulloch,Brooklet,3351,688,962,254,2,1906,114,262,154,2,532,2438,
11,Bulloch,Stilson,2137,617,429,144,1,1191,56,78,79,0,213,1404,
12,Bulloch,Bay,1610,522,341,112,0,975,65,67,63,0,195,1170,
13,Bulloch,Nevils,1299,380,258,106,1,745,48,55,50,0,153,898,
14,Bulloch,Sinkhole,488,188,67,47,0,302,20,12,20,0,52,354,
15,Bulloch,Register,969,217,146,58,2,423,72,72,63,0,207,630,
