index,County,Precinct,Registered Voters,Jon G. Burns (I) (Rep)_Election Day Votes,Jon G. Burns (I) (Rep)_Advanced Voting Votes,Jon G. Burns (I) (Rep)_Absentee by Mail Votes,Jon G. Burns (I) (Rep)_Provisional Votes,Jon G. Burns (I) (Rep)_Choice Total,Total,
0,Bulloch,Lockhart,720,259,129,55,0,443,443,
1,Bulloch,Church,5793,592,1427,650,3,2672,2672,
2,Bulloch,Blitch,1947,485,597,216,1,1299,1299,
3,Bulloch,Hagin,2403,333,331,144,3,811,811,
