index,County,Precinct,Registered Voters,Jan Tankersley (I) (Rep)_Election Day Votes,Jan Tankersley (I) (Rep)_Advanced Voting Votes,Jan Tankersley (I) (Rep)_Absentee by Mail Votes,Jan Tankersley (I) (Rep)_Provisional Votes,Jan Tankersley (I) (Rep)_Choice Total,Total,
0,Bulloch,Emit,3360,641,1046,349,1,2037,2037,
1,Bulloch,Statesboro,6312,0,0,1,0,1,1,
2,Bulloch,Fair,6335,667,2154,696,4,3521,3521,
3,Bulloch,Pittman Park,5279,612,1105,327,1,2045,2045,
4,Bulloch,Leefield,1000,378,223,83,0,684,684,
5,Bulloch,Hagin,2403,185,230,92,0,507,507,
6,Bulloch,Brooklet,3351,753,1091,329,1,2174,2174,
7,Bulloch,Stilson,2137,639,466,177,1,1283,1283,
8,Bulloch,Bay,1610,563,384,148,0,1095,1095,
9,Bulloch,Nevils,1299,408,293,132,1,834,834,
10,Bulloch,Sinkhole,488,200,73,52,0,325,325,
11,Bulloch,Register,969,146,100,30,0,276,276,
