index,County,Precinct,Registered Voters,Jimmy Thomas (I) (Rep)_Election Day Votes,Jimmy Thomas (I) (Rep)_Advanced Voting Votes,Jimmy Thomas (I) (Rep)_Absentee by Mail Votes,Jimmy Thomas (I) (Rep)_Provisional Votes,Jimmy Thomas (I) (Rep)_Choice Total,Total,
0,Pike,Concord,0,327,592,129,0,1048,1048,
1,Pike,Hollonville,0,349,812,149,0,1310,1310,
2,Pike,Meansville,0,301,573,93,0,967,967,
3,Pike,Molena,0,369,576,134,0,1079,1079,
4,Pike,Second District,0,394,1281,243,0,1918,1918,
5,Pike,Lifsey Springs,0,216,500,109,0,825,825,
6,Pike,Williamson,0,307,863,147,0,1317,1317,
7,Pike,Zebulon,0,232,1045,232,0,1509,1509,
