index,County,Precinct,Registered Voters,"Doyle Jason Proctor, II (I) (Rep)_Election Day Votes","Doyle Jason Proctor, II (I) (Rep)_Advanced Voting Votes","Doyle Jason Proctor, II (I) (Rep)_Absentee by Mail Votes","Doyle Jason Proctor, II (I) (Rep)_Provisional Votes","Doyle Jason Proctor, II (I) (Rep)_Choice Total",Total,
0,Pike,Meansville,0,294,561,89,0,944,944,
1,Pike,Second District,0,200,591,115,0,906,906,
2,Pike,Lifsey Springs,0,72,198,31,0,301,301,
3,Pike,Zebulon,0,48,200,36,0,284,284,
