index,County,Precinct,Registered Voters,Donna Minter Chapman (I) (Rep)_Election Day Votes,Donna Minter Chapman (I) (Rep)_Advanced Voting Votes,Donna Minter Chapman (I) (Rep)_Absentee by Mail Votes,Donna Minter Chapman (I) (Rep)_Provisional Votes,Donna Minter Chapman (I) (Rep)_Choice Total,Total,
0,Pike,Concord,0,316,587,125,0,1028,1028,
1,Pike,Hollonville,0,348,815,153,0,1316,1316,
2,Pike,Meansville,0,298,571,90,0,959,959,
3,Pike,Molena,0,366,575,130,0,1071,1071,
4,Pike,Second District,0,397,1278,239,0,1914,1914,
5,Pike,Lifsey Springs,0,222,488,112,0,822,822,
6,Pike,Williamson,0,305,865,147,0,1317,1317,
7,Pike,Zebulon,0,234,1038,228,0,1500,1500,
