index,County,Precinct,Registered Voters,Pam Thompson (I) (Rep)_Election Day Votes,Pam Thompson (I) (Rep)_Advanced Voting Votes,Pam Thompson (I) (Rep)_Absentee by Mail Votes,Pam Thompson (I) (Rep)_Provisional Votes,Pam Thompson (I) (Rep)_Choice Total,Total,
0,Pike,Concord,0,316,585,118,0,1019,1019,
1,Pike,Hollonville,0,350,811,150,0,1311,1311,
2,Pike,Meansville,0,298,566,91,0,955,955,
3,Pike,Molena,0,367,570,123,0,1060,1060,
4,Pike,Second District,0,400,1274,236,0,1910,1910,
5,Pike,Lifsey Springs,0,223,492,103,0,818,818,
6,Pike,Williamson,0,307,866,146,0,1319,1319,
7,Pike,Zebulon,0,235,1027,218,0,1480,1480,
