index,County,Precinct,Registered Voters,Marcia Callaway-Ingram (I) (Rep)_Election Day Votes,Marcia Callaway-Ingram (I) (Rep)_Advanced Voting Votes,Marcia Callaway-Ingram (I) (Rep)_Absentee by Mail Votes,Marcia Callaway-Ingram (I) (Rep)_Provisional Votes,Marcia Callaway-Ingram (I) (Rep)_Choice Total,Total,
0,Pike,Concord,0,312,572,118,0,1002,1002,
1,Pike,Hollonville,0,339,804,148,0,1291,1291,
2,Pike,Meansville,0,293,559,89,0,941,941,
3,Pike,Molena,0,367,563,127,0,1057,1057,
4,Pike,Second District,0,392,1258,232,0,1882,1882,
5,Pike,Lifsey Springs,0,223,484,109,0,816,816,
6,Pike,Williamson,0,308,862,143,0,1313,1313,
7,Pike,Zebulon,0,235,1022,226,0,1483,1483,
