index,County,Precinct,Registered Voters,James Jenkins (I) (Rep)_Election Day Votes,James Jenkins (I) (Rep)_Advanced Voting Votes,James Jenkins (I) (Rep)_Absentee by Mail Votes,James Jenkins (I) (Rep)_Provisional Votes,James Jenkins (I) (Rep)_Choice Total,Total,
0,Pike,Hollonville,0,123,281,57,0,461,461,
1,Pike,Second District,0,191,664,119,0,974,974,
2,Pike,Williamson,0,300,815,135,0,1250,1250,
