index,County,Precinct,Registered Voters,J. Briar Johnson (I) (Rep)_Election Day Votes,J. Briar Johnson (I) (Rep)_Advanced Voting Votes,J. Briar Johnson (I) (Rep)_Absentee by Mail Votes,J. Briar Johnson (I) (Rep)_Provisional Votes,J. Briar Johnson (I) (Rep)_Choice Total,Total,
0,Pike,Concord,0,315,579,116,0,1010,1010,
1,Pike,Hollonville,0,342,801,151,0,1294,1294,
2,Pike,Meansville,0,293,561,89,0,943,943,
3,Pike,Molena,0,367,567,126,0,1060,1060,
4,Pike,Second District,0,391,1261,236,0,1888,1888,
5,Pike,Lifsey Springs,0,222,490,106,0,818,818,
6,Pike,Williamson,0,305,861,141,0,1307,1307,
7,Pike,Zebulon,0,233,1021,221,0,1475,1475,
