index,County,Precinct,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,
0,Pike,Concord,0,283,522,78,0,883,48,86,83,0,217,1100,
1,Pike,Hollonville,0,342,786,131,0,1259,14,47,42,0,103,1362,
2,Pike,Meansville,0,276,551,78,0,905,28,43,21,0,92,997,
3,Pike,Molena,0,348,528,99,0,975,46,66,48,0,160,1135,
4,Pike,Second District,0,371,1205,200,0,1776,38,108,73,0,219,1995,
5,Pike,Lifsey Springs,0,206,474,88,0,768,18,36,40,0,94,862,
6,Pike,Williamson,0,287,834,127,0,1248,27,64,44,0,135,1383,
7,Pike,Zebulon,0,212,909,140,0,1261,34,177,129,0,340,1601,
