index,County,Precinct,Registered Voters,Terrell Moody (I) (Rep)_Election Day Votes,Terrell Moody (I) (Rep)_Advanced Voting Votes,Terrell Moody (I) (Rep)_Absentee by Mail Votes,Terrell Moody (I) (Rep)_Provisional Votes,Terrell Moody (I) (Rep)_Choice Total,Total,
0,Pike,Concord,0,322,591,128,0,1041,1041,
1,Pike,Hollonville,0,356,809,153,0,1318,1318,
2,Pike,Meansville,0,299,575,91,0,965,965,
3,Pike,Molena,0,373,576,130,0,1079,1079,
4,Pike,Second District,0,401,1289,239,0,1929,1929,
5,Pike,Lifsey Springs,0,225,500,110,0,835,835,
6,Pike,Williamson,0,309,869,146,0,1324,1324,
7,Pike,Zebulon,0,235,1044,229,0,1508,1508,
