index,County,Precinct,Registered Voters,Mike Dugan (I) (Rep)_Election Day Votes,Mike Dugan (I) (Rep)_Advanced Voting Votes,Mike Dugan (I) (Rep)_Absentee by Mail Votes,Mike Dugan (I) (Rep)_Provisional Votes,Mike Dugan (I) (Rep)_Choice Total,Montenia Edwards (Dem)_Election Day Votes,Montenia Edwards (Dem)_Advanced Voting Votes,Montenia Edwards (Dem)_Absentee by Mail Votes,Montenia Edwards (Dem)_Provisional Votes,Montenia Edwards (Dem)_Choice Total,Total,
0,Carroll,Kansas,1165,439,261,88,1,789,16,20,21,0,57,846,
1,Carroll,Bowdon,3289,630,667,224,1,1522,102,186,133,1,422,1944,
2,Carroll,Sandhill,4459,498,1338,263,2,2101,128,387,180,1,696,2797,
3,Carroll,Center Point,1775,451,597,148,1,1197,27,68,43,0,138,1335,
4,Carroll,Mt Zion,2641,625,668,177,0,1470,64,105,75,0,244,1714,
5,Carroll,Burwell,1564,389,384,126,2,901,48,72,55,0,175,1076,
6,Carroll,Clem,3695,455,1419,293,2,2169,91,294,148,1,534,2703,
7,Carroll,Bowdon Junction,1547,240,408,96,0,744,45,91,60,0,196,940,
8,Carroll,Tyus,1920,542,505,135,0,1182,41,64,57,1,163,1345,
9,Carroll,Bethany,4779,386,1026,203,1,1616,183,564,267,0,1014,2630,
10,Carroll,V R County South,2942,280,989,227,1,1497,69,209,113,0,391,1888,
11,Carroll,V R County North,5472,531,1529,315,0,2375,160,515,320,0,995,3370,
12,Carroll,Villa Rica City,7250,420,1390,310,0,2120,343,1158,573,1,2075,4195,
13,Carroll,Temple County,4354,641,1251,264,1,2157,102,231,143,2,478,2635,
14,Carroll,Temple City,3700,548,809,167,2,1526,170,389,193,1,753,2279,
15,Carroll,Roopville,3200,332,514,126,1,973,36,61,72,0,169,1142,
16,Carroll,West Carrollton,4380,145,581,142,1,869,276,743,314,3,1336,2205,
17,Carroll,Lakeshore Rec Center,1671,101,408,105,1,615,52,249,104,0,405,1020,
18,Carroll,Bonner,3736,214,1038,201,1,1454,130,568,202,1,901,2355,
19,Carroll,University of W GA,2164,128,522,111,0,761,149,235,121,1,506,1267,
20,Carroll,County Admin Bldg,2620,161,744,170,1,1076,80,396,181,1,658,1734,
21,Carroll,Tabernacle Church,1628,110,488,178,1,777,62,181,94,0,337,1114,
22,Carroll,Burson Center,1466,127,427,95,1,650,45,178,88,0,311,961,
23,Carroll,Old Camp Church,2297,360,763,177,1,1301,62,189,99,0,350,1651,
24,Carroll,Oak Grove,1668,295,491,92,0,878,35,115,70,0,220,1098,
