index,County,Precinct,Registered Voters,"Ernest """"Ernie"""" Reynolds (I) (Rep)_Election Day Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Advanced Voting Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Absentee by Mail Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Provisional Votes","Ernest """"Ernie"""" Reynolds (I) (Rep)_Choice Total",Total,
0,Carroll,Sandhill,4459,297,806,175,1,1279,1279,
1,Carroll,Clem,3695,219,626,168,0,1013,1013,
2,Carroll,Hulett,2408,518,819,172,0,1509,1509,
3,Carroll,Bethany,4779,296,747,168,1,1212,1212,
4,Carroll,Whitesburg,2190,547,582,164,0,1293,1293,
5,Carroll,Roopville,3200,647,1013,261,0,1921,1921,
6,Carroll,Bonner,3736,8,65,6,1,80,80,
7,Carroll,Old Camp Church,2297,115,224,45,0,384,384,
