index,County,Precinct,Registered Voters,Montrell McClendon (I) (Rep)_Election Day Votes,Montrell McClendon (I) (Rep)_Advanced Voting Votes,Montrell McClendon (I) (Rep)_Absentee by Mail Votes,Montrell McClendon (I) (Rep)_Provisional Votes,Montrell McClendon (I) (Rep)_Choice Total,Total,
0,Carroll,Sandhill,4459,86,187,46,0,319,319,
1,Carroll,Bethany,4779,170,424,140,0,734,734,
2,Carroll,West Carrollton,4380,245,725,228,0,1198,1198,
3,Carroll,Lakeshore Rec Center,1671,130,531,157,0,818,818,
4,Carroll,Bonner,3736,152,540,138,0,830,830,
5,Carroll,University of W GA,2164,40,213,50,0,303,303,
6,Carroll,Burson Center,1466,110,323,94,0,527,527,
