index,County,Precinct,Registered Voters,Vickie Bearden (I) (Rep)_Election Day Votes,Vickie Bearden (I) (Rep)_Advanced Voting Votes,Vickie Bearden (I) (Rep)_Absentee by Mail Votes,Vickie Bearden (I) (Rep)_Provisional Votes,Vickie Bearden (I) (Rep)_Choice Total,Total,
0,Carroll,Kansas,1165,449,269,94,0,812,812,
1,Carroll,Bowdon,3289,711,782,302,1,1796,1796,
2,Carroll,Sandhill,4459,581,1575,346,3,2505,2505,
3,Carroll,Center Point,1775,471,634,162,1,1268,1268,
4,Carroll,Mt Zion,2641,668,734,214,0,1616,1616,
5,Carroll,Burwell,1564,414,424,148,2,988,988,
6,Carroll,Clem,3695,518,1590,376,2,2486,2486,
7,Carroll,Bowdon Junction,1547,267,460,126,0,853,853,
8,Carroll,Tyus,1920,569,542,160,1,1272,1272,
9,Carroll,Fairfield,3867,918,1233,375,0,2526,2526,
10,Carroll,Hulett,2408,531,840,180,0,1551,1551,
11,Carroll,Bethany,4779,513,1351,351,1,2216,2216,
12,Carroll,V R County South,2942,333,1113,273,1,1720,1720,
13,Carroll,V R County North,5472,646,1839,460,0,2945,2945,
14,Carroll,Villa Rica City,7250,653,2038,580,0,3271,3271,
15,Carroll,Temple County,4354,707,1380,329,3,2419,2419,
16,Carroll,Temple City,3700,654,1039,266,3,1962,1962,
17,Carroll,Whitesburg,2190,565,607,166,0,1338,1338,
18,Carroll,Roopville,3200,676,1099,275,3,2053,2053,
19,Carroll,West Carrollton,4380,315,1015,316,1,1647,1647,
20,Carroll,Lakeshore Rec Center,1671,133,542,162,1,838,838,
21,Carroll,Bonner,3736,301,1377,301,2,1981,1981,
22,Carroll,University of W GA,2164,223,656,174,2,1055,1055,
23,Carroll,County Admin Bldg,2620,217,972,255,1,1445,1445,
24,Carroll,Tabernacle Church,1628,142,575,222,0,939,939,
25,Carroll,Burson Center,1466,154,544,141,1,840,840,
26,Carroll,Old Camp Church,2297,400,873,231,2,1506,1506,
27,Carroll,Oak Grove,1668,315,558,125,0,998,998,
