index,County,Precinct,Registered Voters,Tommy Lee (I) (Rep)_Election Day Votes,Tommy Lee (I) (Rep)_Advanced Voting Votes,Tommy Lee (I) (Rep)_Absentee by Mail Votes,Tommy Lee (I) (Rep)_Provisional Votes,Tommy Lee (I) (Rep)_Choice Total,Total,
0,Carroll,Sandhill,4459,139,484,101,0,724,724,
1,Carroll,Center Point,1775,296,417,105,0,818,818,
2,Carroll,Bethany,4779,17,80,13,0,110,110,
3,Carroll,V R County South,2942,213,675,164,0,1052,1052,
4,Carroll,V R County North,5472,209,570,164,0,943,943,
5,Carroll,Villa Rica City,7250,2,0,0,0,2,2,
6,Carroll,Temple County,4354,702,1368,318,0,2388,2388,
7,Carroll,Temple City,3700,650,1021,255,2,1928,1928,
8,Carroll,Burson Center,1466,31,166,29,0,226,226,
