index,County,Precinct,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,
0,Carroll,Kansas,1165,446,268,88,0,802,802,
1,Carroll,Bowdon,3289,691,753,279,1,1724,1724,
2,Carroll,Sandhill,4459,569,1538,326,3,2436,2436,
3,Carroll,Center Point,1775,461,625,160,1,1247,1247,
4,Carroll,Mt Zion,2641,660,716,208,0,1584,1584,
5,Carroll,Burwell,1564,410,411,144,2,967,967,
6,Carroll,Clem,3695,512,1540,354,2,2408,2408,
7,Carroll,Bowdon Junction,1547,263,443,121,0,827,827,
8,Carroll,Tyus,1920,563,529,149,1,1242,1242,
9,Carroll,Fairfield,3867,907,1205,351,0,2463,2463,
10,Carroll,Hulett,2408,517,820,175,0,1512,1512,
11,Carroll,Bethany,4779,498,1300,331,1,2130,2130,
12,Carroll,V R County South,2942,330,1086,259,1,1676,1676,
13,Carroll,V R County North,5472,631,1796,431,0,2858,2858,
14,Carroll,Villa Rica City,7250,640,1977,540,0,3157,3157,
15,Carroll,Temple County,4354,699,1358,317,3,2377,2377,
16,Carroll,Temple City,3700,649,1014,252,3,1918,1918,
17,Carroll,Whitesburg,2190,556,590,161,0,1307,1307,
18,Carroll,Roopville,3200,672,1083,262,4,2021,2021,
19,Carroll,West Carrollton,4380,309,976,295,2,1582,1582,
20,Carroll,Lakeshore Rec Center,1671,131,521,149,1,802,802,
21,Carroll,Bonner,3736,290,1327,287,2,1906,1906,
22,Carroll,University of W GA,2164,221,641,165,2,1029,1029,
23,Carroll,County Admin Bldg,2620,215,944,236,1,1396,1396,
24,Carroll,Tabernacle Church,1628,140,561,203,0,904,904,
25,Carroll,Burson Center,1466,151,525,130,0,806,806,
26,Carroll,Old Camp Church,2297,397,850,212,2,1461,1461,
27,Carroll,Oak Grove,1668,314,544,121,0,979,979,
